figure_type,bucket,property,path,data_points,unique_systems,coverage_group
coverage,all,all,figures/coverage/property_coverage_all.png,1912140,1616284,all
coverage,all,high,figures/coverage/property_coverage_high.png,1757528,1515798,high
coverage,all,medium,figures/coverage/property_coverage_medium.png,147756,97210,medium
coverage,all,low,figures/coverage/property_coverage_low.png,6856,3276,low
property_distribution_1d,experiment,density,figures/property_distributions_1d/high/experiment_density_density_value.png,98517,6206,high
property_distribution_2d,experiment,density,figures/property_distributions_2d/high/experiment_density_temperature_k_pressure_kpa.png,98517,6206,high
property_distribution_2d,experiment,density,figures/property_distributions_2d/high/experiment_density_temperature_k_density_value.png,98517,6206,high
property_distribution_2d,experiment,density,figures/property_distributions_2d/high/experiment_density_pressure_kpa_density_value.png,98517,6206,high
system_frequency,experiment,density,figures/system_frequency/high/experiment_density.png,98517,6206,high
property_distribution_1d,experiment,dynamic_relative_permittivity,figures/property_distributions_1d/low/experiment_dynamic_relative_permittivity_dynamic_relative_permittivity_value.png,882,49,low
property_distribution_2d,experiment,dynamic_relative_permittivity,figures/property_distributions_2d/low/experiment_dynamic_relative_permittivity_temperature_k_pressure_kpa.png,882,49,low
property_distribution_2d,experiment,dynamic_relative_permittivity,figures/property_distributions_2d/low/experiment_dynamic_relative_permittivity_temperature_k_frequency_mhz.png,882,49,low
property_distribution_2d,experiment,dynamic_relative_permittivity,figures/property_distributions_2d/low/experiment_dynamic_relative_permittivity_temperature_k_dynamic_relative_permittivity_value.png,882,49,low
property_distribution_2d,experiment,dynamic_relative_permittivity,figures/property_distributions_2d/low/experiment_dynamic_relative_permittivity_pressure_kpa_frequency_mhz.png,882,49,low
property_distribution_2d,experiment,dynamic_relative_permittivity,figures/property_distributions_2d/low/experiment_dynamic_relative_permittivity_pressure_kpa_dynamic_relative_permittivity_value.png,882,49,low
property_distribution_2d,experiment,dynamic_relative_permittivity,figures/property_distributions_2d/low/experiment_dynamic_relative_permittivity_frequency_mhz_dynamic_relative_permittivity_value.png,882,49,low
system_frequency,experiment,dynamic_relative_permittivity,figures/system_frequency/low/experiment_dynamic_relative_permittivity.png,882,49,low
property_distribution_1d,experiment,electrical_conductivity,figures/property_distributions_1d/medium/experiment_electrical_conductivity_electrical_conductivity_value.png,11109,705,medium
property_distribution_2d,experiment,electrical_conductivity,figures/property_distributions_2d/medium/experiment_electrical_conductivity_temperature_k_pressure_kpa.png,11109,705,medium
property_distribution_2d,experiment,electrical_conductivity,figures/property_distributions_2d/medium/experiment_electrical_conductivity_temperature_k_electrical_conductivity_value.png,11109,705,medium
property_distribution_2d,experiment,electrical_conductivity,figures/property_distributions_2d/medium/experiment_electrical_conductivity_pressure_kpa_electrical_conductivity_value.png,11109,705,medium
system_frequency,experiment,electrical_conductivity,figures/system_frequency/medium/experiment_electrical_conductivity.png,11109,705,medium
property_distribution_1d,experiment,equilibrium_pressure,figures/property_distributions_1d/medium/experiment_equilibrium_pressure_equilibrium_pressure_value.png,2029,95,medium
property_distribution_2d,experiment,equilibrium_pressure,figures/property_distributions_2d/medium/experiment_equilibrium_pressure_temperature_k_equilibrium_pressure_value.png,2029,95,medium
system_frequency,experiment,equilibrium_pressure,figures/system_frequency/medium/experiment_equilibrium_pressure.png,2029,95,medium
property_distribution_1d,experiment,glass_transition_temperature,figures/property_distributions_1d/low/experiment_glass_transition_temperature_glass_transition_temperature_value.png,793,789,low
system_frequency,experiment,glass_transition_temperature,figures/system_frequency/low/experiment_glass_transition_temperature.png,793,789,low
property_distribution_1d,experiment,heat_capacity,figures/property_distributions_1d/high/experiment_heat_capacity_heat_capacity_value.png,23584,430,high
property_distribution_2d,experiment,heat_capacity,figures/property_distributions_2d/high/experiment_heat_capacity_temperature_k_pressure_kpa.png,23584,430,high
property_distribution_2d,experiment,heat_capacity,figures/property_distributions_2d/high/experiment_heat_capacity_temperature_k_heat_capacity_value.png,23584,430,high
property_distribution_2d,experiment,heat_capacity,figures/property_distributions_2d/high/experiment_heat_capacity_pressure_kpa_heat_capacity_value.png,23584,430,high
system_frequency,experiment,heat_capacity,figures/system_frequency/high/experiment_heat_capacity.png,23584,430,high
property_distribution_1d,experiment,isobaric_coefficient_of_volume_expansion,figures/property_distributions_1d/low/experiment_isobaric_coefficient_of_volume_expansion_isobaric_coefficient_of_volume_expansion_value.png,894,25,low
property_distribution_2d,experiment,isobaric_coefficient_of_volume_expansion,figures/property_distributions_2d/low/experiment_isobaric_coefficient_of_volume_expansion_temperature_k_pressure_kpa.png,894,25,low
property_distribution_2d,experiment,isobaric_coefficient_of_volume_expansion,figures/property_distributions_2d/low/experiment_isobaric_coefficient_of_volume_expansion_temperature_k_isobaric_coefficient_of_volume_expansion_value.png,894,25,low
property_distribution_2d,experiment,isobaric_coefficient_of_volume_expansion,figures/property_distributions_2d/low/experiment_isobaric_coefficient_of_volume_expansion_pressure_kpa_isobaric_coefficient_of_volume_expansion_value.png,894,25,low
system_frequency,experiment,isobaric_coefficient_of_volume_expansion,figures/system_frequency/low/experiment_isobaric_coefficient_of_volume_expansion.png,894,25,low
property_distribution_1d,experiment,melting_point,figures/property_distributions_1d/medium/experiment_melting_point_melting_point_value.png,4709,3533,medium
system_frequency,experiment,melting_point,figures/system_frequency/medium/experiment_melting_point.png,4709,3533,medium
property_distribution_1d,experiment,partition,figures/property_distributions_1d/medium/experiment_partition_partition_value.png,2991,2991,medium
property_distribution_2d,experiment,partition,figures/property_distributions_2d/medium/experiment_partition_temperature_k_partition_value.png,2991,2991,medium
system_frequency,experiment,partition,figures/system_frequency/medium/experiment_partition.png,2991,2991,medium
property_distribution_1d,experiment,pec50,figures/property_distributions_1d/low/experiment_pec50_pec50_value.png,334,312,low
system_frequency,experiment,pec50,figures/system_frequency/low/experiment_pec50.png,334,312,low
property_distribution_1d,experiment,refractive_index,figures/property_distributions_1d/medium/experiment_refractive_index_refractive_index_value.png,10761,754,medium
property_distribution_2d,experiment,refractive_index,figures/property_distributions_2d/medium/experiment_refractive_index_temperature_k_pressure_kpa.png,10761,754,medium
property_distribution_2d,experiment,refractive_index,figures/property_distributions_2d/medium/experiment_refractive_index_temperature_k_wavelength_nm.png,10761,754,medium
property_distribution_2d,experiment,refractive_index,figures/property_distributions_2d/medium/experiment_refractive_index_temperature_k_refractive_index_value.png,10761,754,medium
property_distribution_2d,experiment,refractive_index,figures/property_distributions_2d/medium/experiment_refractive_index_pressure_kpa_wavelength_nm.png,10761,754,medium
property_distribution_2d,experiment,refractive_index,figures/property_distributions_2d/medium/experiment_refractive_index_pressure_kpa_refractive_index_value.png,10761,754,medium
property_distribution_2d,experiment,refractive_index,figures/property_distributions_2d/medium/experiment_refractive_index_wavelength_nm_refractive_index_value.png,10761,754,medium
system_frequency,experiment,refractive_index,figures/system_frequency/medium/experiment_refractive_index.png,10761,754,medium
property_distribution_1d,experiment,self_diffusion_coefficient,figures/property_distributions_1d/low/experiment_self_diffusion_coefficient_self_diffusion_coefficient_value.png,382,36,low
property_distribution_2d,experiment,self_diffusion_coefficient,figures/property_distributions_2d/low/experiment_self_diffusion_coefficient_temperature_k_pressure_kpa.png,382,36,low
property_distribution_2d,experiment,self_diffusion_coefficient,figures/property_distributions_2d/low/experiment_self_diffusion_coefficient_temperature_k_self_diffusion_coefficient_value.png,382,36,low
property_distribution_2d,experiment,self_diffusion_coefficient,figures/property_distributions_2d/low/experiment_self_diffusion_coefficient_pressure_kpa_self_diffusion_coefficient_value.png,382,36,low
system_frequency,experiment,self_diffusion_coefficient,figures/system_frequency/low/experiment_self_diffusion_coefficient.png,382,36,low
property_distribution_1d,experiment,solvation,figures/property_distributions_1d/high/experiment_solvation_solvation_value.png,44400,3611,high
property_distribution_2d,experiment,solvation,figures/property_distributions_2d/high/experiment_solvation_temperature_k_solvation_value.png,44400,3611,high
system_frequency,experiment,solvation,figures/system_frequency/high/experiment_solvation.png,44400,3611,high
property_distribution_1d,experiment,speed_of_sound,figures/property_distributions_1d/medium/experiment_speed_of_sound_speed_of_sound_value.png,6819,216,medium
property_distribution_2d,experiment,speed_of_sound,figures/property_distributions_2d/medium/experiment_speed_of_sound_temperature_k_pressure_kpa.png,6819,216,medium
property_distribution_2d,experiment,speed_of_sound,figures/property_distributions_2d/medium/experiment_speed_of_sound_temperature_k_speed_of_sound_value.png,6819,216,medium
property_distribution_2d,experiment,speed_of_sound,figures/property_distributions_2d/medium/experiment_speed_of_sound_pressure_kpa_speed_of_sound_value.png,6819,216,medium
system_frequency,experiment,speed_of_sound,figures/system_frequency/medium/experiment_speed_of_sound.png,6819,216,medium
property_distribution_1d,experiment,static_relative_permittivity,figures/property_distributions_1d/low/experiment_static_relative_permittivity_static_relative_permittivity_value.png,65,44,low
property_distribution_2d,experiment,static_relative_permittivity,figures/property_distributions_2d/low/experiment_static_relative_permittivity_temperature_k_pressure_kpa.png,65,44,low
property_distribution_2d,experiment,static_relative_permittivity,figures/property_distributions_2d/low/experiment_static_relative_permittivity_temperature_k_static_relative_permittivity_value.png,65,44,low
property_distribution_2d,experiment,static_relative_permittivity,figures/property_distributions_2d/low/experiment_static_relative_permittivity_pressure_kpa_static_relative_permittivity_value.png,65,44,low
system_frequency,experiment,static_relative_permittivity,figures/system_frequency/low/experiment_static_relative_permittivity.png,65,44,low
property_distribution_1d,experiment,surface_tension,figures/property_distributions_1d/medium/experiment_surface_tension_surface_tension_value.png,11869,1255,medium
property_distribution_2d,experiment,surface_tension,figures/property_distributions_2d/medium/experiment_surface_tension_temperature_k_surface_tension_value.png,11869,1255,medium
system_frequency,experiment,surface_tension,figures/system_frequency/medium/experiment_surface_tension.png,11869,1255,medium
property_distribution_1d,experiment,thermal_conductivity,figures/property_distributions_1d/low/experiment_thermal_conductivity_thermal_conductivity_value.png,1597,112,low
property_distribution_2d,experiment,thermal_conductivity,figures/property_distributions_2d/low/experiment_thermal_conductivity_temperature_k_pressure_kpa.png,1597,112,low
property_distribution_2d,experiment,thermal_conductivity,figures/property_distributions_2d/low/experiment_thermal_conductivity_temperature_k_thermal_conductivity_value.png,1597,112,low
property_distribution_2d,experiment,thermal_conductivity,figures/property_distributions_2d/low/experiment_thermal_conductivity_pressure_kpa_thermal_conductivity_value.png,1597,112,low
system_frequency,experiment,thermal_conductivity,figures/system_frequency/low/experiment_thermal_conductivity.png,1597,112,low
property_distribution_1d,experiment,thermal_decomposition_temperature,figures/property_distributions_1d/medium/experiment_thermal_decomposition_temperature_thermal_decomposition_temperature_value.png,2777,2712,medium
system_frequency,experiment,thermal_decomposition_temperature,figures/system_frequency/medium/experiment_thermal_decomposition_temperature.png,2777,2712,medium
property_distribution_1d,experiment,transfer,figures/property_distributions_1d/medium/experiment_transfer_transfer_value.png,3079,3079,medium
property_distribution_2d,experiment,transfer,figures/property_distributions_2d/medium/experiment_transfer_temperature_k_transfer_value.png,3079,3079,medium
system_frequency,experiment,transfer,figures/system_frequency/medium/experiment_transfer.png,3079,3079,medium
property_distribution_1d,experiment,transfer_organic,figures/property_distributions_1d/low/experiment_transfer_organic_transfer_organic_value.png,1909,1909,low
property_distribution_2d,experiment,transfer_organic,figures/property_distributions_2d/low/experiment_transfer_organic_temperature_k_transfer_organic_value.png,1909,1909,low
system_frequency,experiment,transfer_organic,figures/system_frequency/low/experiment_transfer_organic.png,1909,1909,low
property_distribution_1d,experiment,viscosity,figures/property_distributions_1d/high/experiment_viscosity_viscosity_value.png,45804,2750,high
property_distribution_2d,experiment,viscosity,figures/property_distributions_2d/high/experiment_viscosity_temperature_k_pressure_kpa.png,45804,2750,high
property_distribution_2d,experiment,viscosity,figures/property_distributions_2d/high/experiment_viscosity_temperature_k_viscosity_value.png,45804,2750,high
property_distribution_2d,experiment,viscosity,figures/property_distributions_2d/high/experiment_viscosity_pressure_kpa_viscosity_value.png,45804,2750,high
system_frequency,experiment,viscosity,figures/system_frequency/high/experiment_viscosity.png,45804,2750,high
property_distribution_1d,experiment,x_co2,figures/property_distributions_1d/medium/experiment_x_co2_x_co2_value.png,9683,124,medium
property_distribution_2d,experiment,x_co2,figures/property_distributions_2d/medium/experiment_x_co2_temperature_k_pressure_kpa.png,9683,124,medium
property_distribution_2d,experiment,x_co2,figures/property_distributions_2d/medium/experiment_x_co2_temperature_k_x_co2_value.png,9683,124,medium
property_distribution_2d,experiment,x_co2,figures/property_distributions_2d/medium/experiment_x_co2_pressure_kpa_x_co2_value.png,9683,124,medium
system_frequency,experiment,x_co2,figures/system_frequency/medium/experiment_x_co2.png,9683,124,medium
property_distribution_1d,simulation,charge,figures/property_distributions_1d/medium/simulation_charge_charge_value.png,8006,8006,medium
system_frequency,simulation,charge,figures/system_frequency/medium/simulation_charge.png,8006,8006,medium
property_distribution_1d,simulation,density,figures/property_distributions_1d/high/simulation_density_density_value.png,25346,12554,high
property_distribution_2d,simulation,density,figures/property_distributions_2d/high/simulation_density_temperature_k_density_value.png,25346,12554,high
system_frequency,simulation,density,figures/system_frequency/high/simulation_density.png,25346,12554,high
property_distribution_1d,simulation,gap,figures/property_distributions_1d/medium/simulation_gap_gap_value.png,16616,16616,medium
system_frequency,simulation,gap,figures/system_frequency/medium/simulation_gap.png,16616,16616,medium
property_distribution_1d,simulation,heat_capacity,figures/property_distributions_1d/medium/simulation_heat_capacity_heat_capacity_value.png,12038,11946,medium
property_distribution_2d,simulation,heat_capacity,figures/property_distributions_2d/medium/simulation_heat_capacity_temperature_k_heat_capacity_value.png,12038,11946,medium
system_frequency,simulation,heat_capacity,figures/system_frequency/medium/simulation_heat_capacity.png,12038,11946,medium
