bucket,property,property_label,output_file,rows,data_points,unique_systems,points_per_system_mean,points_per_system_median,points_per_system_p95,max_points_per_system,multi_point_systems,multi_point_system_ratio,condition_columns,condition_complete_rows,unique_condition_sets,source_count,value_min,value_p05,value_p25,value_median,value_mean,value_p75,value_p95,value_max,value_std,leakage_risk,recommended_split,recommended_test_systems
experiment,density,density_g/cm^3,experiment/density.csv,97824,97824,6202,15.772976459206708,3.0,39.94999999999982,1823,4941,0.7966784908094163,temperature_K; pressure_kPa,78492,15950,4,0.78,0.95909575,1.0858,1.2098,1.2235837260341431,1.3588624999999999,1.509,2.8,0.17575185015105332,high,system_holdout_test,621
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,experiment/dynamic_relative_permittivity.csv,882,882,49,18.0,18.0,18.0,18,49,1.0,temperature_K; pressure_kPa; frequency_MHz,882,18,1,3.0,3.6,5.1,6.3,6.383219954648526,7.2,9.9,20.0,1.9596820537505701,high,grouped_cross_validation,0
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,experiment/electrical_conductivity.csv,11109,11109,705,15.757446808510638,9.0,53.0,319,567,0.8042553191489362,temperature_K; pressure_kPa,8854,2104,2,-13.60205999,-2.568636236,-0.978810701,-0.410050399,-0.6819365418388007,0.008600172,0.5728716021202882,2.160168293,1.360977539409197,high,system_holdout_test,71
experiment,equilibrium_pressure,pressure_kPa_log10,experiment/equilibrium_pressure.csv,2029,2029,95,21.357894736842105,20.0,39.3,151,94,0.9894736842105263,temperature_K,2029,1739,1,-10.63827216,-9.053554394,-8.15490196,-7.356547324,-6.620375231457189,-4.610833916,-3.0749205040000045,0.2787536009528289,2.0425017460039205,high,grouped_cross_validation,0
experiment,glass_transition_temperature,glass_transition_temperature_K,experiment/glass_transition_temperature.csv,793,793,793,1.0,1.0,1.0,1,0,0.0,,793,0,1,156.0,178.0,197.0,211.2,215.63392181588904,230.8,270.0,423.0,29.569684805112104,low,system_holdout_test,80
experiment,heat_capacity,heat_capacity_J/mol/K,experiment/heat_capacity.csv,23560,23560,429,54.91841491841492,19.0,161.99999999999966,1732,405,0.9440559440559441,temperature_K; pressure_kPa,13235,9680,2,119.3,308.695,410.875,508.65,555.2621542062691,657.0,892.0,2040.0,211.34996374050363,high,system_holdout_test,43
experiment,isobaric_coefficient_of_volume_expansion,isobaric_coefficient_of_volume_expansion_K^-1,experiment/isobaric_coefficient_of_volume_expansion.csv,894,894,25,35.76,1.0,80.0,80,11,0.44,temperature_K; pressure_kPa,894,82,1,0.000486,0.000521585,0.00055225,0.000576,0.0005796344519015661,0.000601,0.000647,0.001012,4.3940515615104015e-05,high,grouped_cross_validation,0
experiment,melting_point,melting_point_K,experiment/melting_point.csv,4698,4698,3592,1.3079064587973275,1.0,3.0,22,715,0.1990534521158129,,4698,0,4,177.0,252.2,293.0,337.0,345.874061302682,386.1375,484.2404999999999,632.1,70.96792976524729,high,system_holdout_test,360
experiment,pec50,pEC50,experiment/pec50.csv,331,331,309,1.0711974110032363,1.0,2.0,2,22,0.07119741100323625,,331,0,1,-4.9,-4.6,-3.8049999999999997,-3.31386722,-3.131957282981873,-2.675,-0.93,0.240332155,1.0757742615596408,low,system_holdout_test,31
experiment,refractive_index,refractive_index_unitless,experiment/refractive_index.csv,10751,10751,756,14.220899470899472,8.5,51.0,237,603,0.7976190476190477,temperature_K; pressure_kPa; wavelength_nm,7821,660,2,1.33517,1.4094,1.4305,1.4577,1.4628269035438561,1.493,1.531775,1.7,0.03966008460207348,high,system_holdout_test,76
experiment,self_diffusion_coefficient,self_diffusion_coefficient_10^-9*m^2/s_log10,experiment/self_diffusion_coefficient.csv,382,382,36,10.61111111111111,8.0,33.75,58,24,0.6666666666666666,temperature_K; pressure_kPa,382,131,1,-4.537602002101044,-3.9202825606827867,-1.9609157012995524,-1.3424874003436975,-1.5397824001152915,-0.861856032786279,-0.43305617701318905,-0.2276782932770802,0.9457053008184199,high,grouped_cross_validation,0
experiment,solvation,solvation_kcal/mol,experiment/solvation.csv,23783,23783,3611,6.586264192744392,6.0,16.0,16,2302,0.6374965383550263,temperature_K,23783,16,2,-11.82,-4.952,-4.063,-3.334,-3.26799331151533,-2.454,-1.438,2.102,1.1003030756465986,high,system_holdout_test,362
experiment,speed_of_sound,speed_of_sound_m/s,experiment/speed_of_sound.csv,6819,6819,216,31.569444444444443,11.0,162.25,252,213,0.9861111111111112,temperature_K; pressure_kPa,6819,1532,1,1009.7,1186.79,1333.81,1506.8,1503.4990526470156,1666.1,1825.6299999999997,2142.4,205.12628823713237,high,system_holdout_test,22
experiment,static_relative_permittivity,static_relative_permittivity_unitless,experiment/static_relative_permittivity.csv,65,65,44,1.4772727272727273,1.0,3.8500000000000014,7,9,0.20454545454545456,temperature_K; pressure_kPa,65,10,1,7.1,9.3,12.5,14.0,18.43123076923077,18.4,32.67999999999999,85.6,12.36141647269998,low,grouped_cross_validation,0
experiment,surface_tension,surface_tension_mN/m,experiment/surface_tension.csv,11647,11647,1250,9.3176,3.0,37.549999999999955,163,1040,0.832,temperature_K,11647,2074,4,15.5,25.7,32.02,37.900000000000006,38.85749542371426,45.3,53.900000000000006,98.98,8.96588722776295,high,system_holdout_test,125
experiment,thermal_conductivity,thermal_conductivity_W/m/K,experiment/thermal_conductivity.csv,1588,1588,111,14.306306306306306,9.0,38.0,75,109,0.9819819819819819,temperature_K; pressure_kPa,1575,401,2,0.094,0.1156,0.129075,0.153,0.15318833753148614,0.172,0.19629499999999994,0.255,0.026385718376092864,high,grouped_cross_validation,0
experiment,thermal_decomposition_temperature,thermal_decomposition_temperature_K,experiment/thermal_decomposition_temperature.csv,2767,2767,2748,1.0069141193595341,1.0,1.0,2,19,0.006914119359534207,,2767,0,1,316.0,409.0,465.0,516.0,522.9865558366462,574.0,663.9399999999999,758.0,76.22400892890286,low,system_holdout_test,275
experiment,transfer,transfer_kcal/mol,experiment/transfer.csv,3079,3079,3079,1.0,1.0,1.0,1,0,0.0,temperature_K,3079,1,2,-3.23247,-0.9140199999999999,0.5418915,2.83644,2.5363810834524196,4.197649999999999,6.266833999999999,11.3339,2.2965148534775732,low,system_holdout_test,308
experiment,transfer_organic,transfer_organic_kcal/mol,experiment/transfer_organic.csv,1914,1914,1914,1.0,1.0,1.0,1,0,0.0,temperature_K,1914,1,1,-6.86,-2.1035,-0.11,1.355,1.5073570632915358,3.01,5.2734999999999985,9.69,2.336767514000189,low,system_holdout_test,192
experiment,viscosity,viscosity_mPa*s_log10,experiment/viscosity.csv,44529,44529,2753,16.174718488921176,8.0,50.0,808,1951,0.7086814384308028,temperature_K; pressure_kPa,24663,6369,4,-0.1804560644581313,0.8742729944797866,1.3222192947339193,1.7084209,1.809109754056586,2.181557774,3.076538448814014,12.30103,0.7295762954364239,high,system_holdout_test,276
experiment,x_co2,x_CO2_unitless,experiment/x_co2.csv,9536,9536,122,78.1639344262295,42.5,195.79999999999995,671,121,0.9918032786885246,temperature_K; pressure_kPa,9536,8167,1,6.48e-05,0.01460972875,0.129,0.294,0.3273608172660445,0.503,0.75,0.9516,0.2327667491568212,high,grouped_cross_validation,0
simulation,anion_homo,anion_HOMO_eV,simulation/anion_homo.csv,7444,7444,7444,1.0,1.0,1.0,1,0,0.0,,7444,0,1,-3.84638362,-2.8270867955,-2.1383942775,-1.5470280550000002,-1.3852971989038152,-0.900581115,1.2111383139999998,3.37066235,1.107120972647382,low,system_holdout_test,745
simulation,anion_lumo,anion_LUMO_eV,simulation/anion_lumo.csv,7444,7444,7444,1.0,1.0,1.0,1,0,0.0,,7444,0,1,-0.69598761,0.30728798500000004,0.993467565,1.7294063100000001,1.6903486610787213,2.2749812425,3.097599450999999,6.12938724,0.8796761196915842,low,system_holdout_test,745
simulation,cation_homo,cation_HOMO_eV,simulation/cation_homo.csv,9172,9172,9172,1.0,1.0,1.0,1,0,0.0,,9172,0,1,-11.75678578,-9.6608422895,-8.9254532825,-8.396506615,-8.350640793939162,-7.792925835,-6.8983775325000005,-5.74593954,0.8579738443206335,low,system_holdout_test,918
simulation,cation_lumo,cation_LUMO_eV,simulation/cation_lumo.csv,9172,9172,9172,1.0,1.0,1.0,1,0,0.0,,9172,0,1,-9.13107625,-7.2238211175,-6.417394835,-5.253819155,-5.493471737853249,-4.6664837299999995,-4.067611929500001,-3.10166822,1.0365579161123364,low,system_holdout_test,918
simulation,charge,charge,simulation/charge.csv,28212,28212,28212,1.0,1.0,1.0,1,0,0.0,,28212,0,1,-14.0,-2.0,-1.0,0.0,-0.3094073443924571,0.0,0.0,6.0,0.7825999177558273,low,system_holdout_test,2822
simulation,density,density_g/cm^3,simulation/density.csv,25346,25346,12554,2.018958101003664,2.0,2.0,9,12491,0.9949816791460889,temperature_K,25346,10,1,0.8528989999999999,0.909352,0.97859225,1.04456,1.0761449322575556,1.1238575000000002,1.3134225000000002,2.45142,0.171966457161693,high,system_holdout_test,1256
simulation,heat_capacity,heat_capacity_J/mol/K,simulation/heat_capacity.csv,12038,12038,11946,1.0077013226184497,1.0,1.0,3,53,0.004436631508454713,temperature_K,12038,4,1,239.184,476.4752,627.53025,772.917,861.8212544442598,1057.3274999999999,1492.2745,2630.12,322.41578095911126,low,system_holdout_test,1195
simulation,heat_of_vaporization,heat_of_vaporization_kJ/mol,simulation/heat_of_vaporization.csv,26835,26835,13441,1.9965032363663417,2.0,2.0,2,13394,0.9965032363663417,temperature_K,26835,2,1,120.605792,146.42285199999998,163.60829199999998,179.369592,183.80386863011253,198.783092,236.745112,339.049072,27.842296274685403,high,system_holdout_test,1345
simulation,esp_max,ESP_max,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,-506.971055,-48.64637274999999,8.52741125,27.321977500000003,16.46472591888449,34.32142625,46.311319749999974,345.75752000000006,40.264854990624386,low,system_holdout_test,2728
simulation,esp_min,ESP_min,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,-757.4960375,-178.52155375,-98.18116,-40.113565,-67.07463607857693,-34.84789875,-25.873205500000005,217.6038225,60.012705933841474,low,system_holdout_test,2728
simulation,esp_std,ESP_std,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,0.9755744943202476,7.568999084847692,9.660539495890648,11.453614396494308,14.356222278754572,17.92312758443795,28.433965918780313,95.80495987738291,7.220337866011724,low,system_holdout_test,2728
simulation,esp_pos_frac,ESP_pos_frac,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,0.0,0.0,0.24780903120184833,0.504305205987548,0.41008999420397096,0.5633240567264056,0.655103037922226,1.0,0.25400478936717935,low,system_holdout_test,2728
simulation,dipole,Dipole,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,0.0,1.4675,3.4295999999999998,5.4765,8.208317500641519,9.2675,25.806549999999998,149.1924,8.480890338082599,low,system_holdout_test,2728
simulation,quadrupole,Quadrupole,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,0.0,4.449328893309282,11.731715372439197,22.0210820898974,45.07816964749723,42.185845441061886,165.53782368260582,6677.566508972638,96.27293420003127,low,system_holdout_test,2728
simulation,q_max,q_max,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,-0.178482,0.4232849,0.746807,0.814781,0.9009735634554052,1.038432,1.6966641,1.98768,0.3701178243297686,low,system_holdout_test,2728
simulation,q_min,q_min,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,-1.310153,-0.9836484,-0.9245235,-0.858073,-0.8489237710143333,-0.7840925,-0.6757166000000001,0.0,0.10281086920853803,low,system_holdout_test,2728
simulation,q_std,q_std,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,0.0,0.2519273475523491,0.30168828002171644,0.3389825042772386,0.345969289588822,0.3816674042989608,0.46367669939843464,0.8950181002835066,0.06667914334038329,low,system_holdout_test,2728
simulation,q_pos_frac,q_pos_frac,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,0.0,0.41244712179233406,0.4908033032948742,0.4999999815199221,0.485102998691347,0.5000000234045477,0.5000000928245691,0.6809974406961886,0.036134732903712226,low,system_holdout_test,2728
simulation,gap,gap_eV,simulation/simulated_qm_elec_hf.csv,27279,27279,27279,1.0,1.0,1.0,1,0,0.0,,27279,0,1,-0.1828606080000001,5.5461459138,6.582165546000001,7.289661945999999,7.595520376300378,8.204101043000001,11.164946265599998,22.088037608,1.661551905958121,low,system_holdout_test,2728
simulation,thermal_expansion,thermal_expansion_K^-1,simulation/thermal_expansion.csv,12038,12038,11946,1.0077013226184497,1.0,1.0,3,53,0.004436631508454713,temperature_K,12038,4,1,5.47546e-05,0.00037887,0.000547035,0.0006301445,0.0006016192614553905,0.000680393,0.0007258154999999999,0.00101168,0.00010821222910984253,low,system_holdout_test,1195
simulation,transfer_organic,transfer_organic_kcal/mol,simulation/transfer_organic.csv,1000000,1000000,1000000,1.0,1.0,1.0,1,0,0.0,,1000000,0,1,-58.13,-16.47,-10.26,-7.38,-8.10384938,-4.8,-2.8,9.26,4.4659136535381405,low,system_holdout_test,100000
