bucket,property_a,property_a_label,property_a_unique_systems,property_b,property_b_label,property_b_unique_systems,shared_systems,property_a_overlap_ratio,property_b_overlap_ratio
experiment,density,density_g/cm^3,5966,density,density_g/cm^3,5966,5966,1.0,1.0
experiment,density,density_g/cm^3,5966,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,48,0.008045591686221924,0.9795918367346939
experiment,density,density_g/cm^3,5966,electrical_conductivity,electrical_conductivity_S/m_log10,703,642,0.10760978880321824,0.9132290184921764
experiment,density,density_g/cm^3,5966,equilibrium_pressure,pressure_kPa_log10,95,83,0.01391216895742541,0.8736842105263158
experiment,density,density_g/cm^3,5966,glass_transition_temperature,glass_transition_temperature_K,793,307,0.05145826349312772,0.3871374527112232
experiment,density,density_g/cm^3,5966,heat_capacity,heat_capacity_J/mol/K,352,295,0.04944686557157224,0.8380681818181818
experiment,density,density_g/cm^3,5966,melting_point,melting_point_K,3460,897,0.15035199463627222,0.2592485549132948
experiment,density,density_g/cm^3,5966,pec50,pEC50,305,157,0.02631578947368421,0.5147540983606558
experiment,density,density_g/cm^3,5966,refractive_index,refractive_index_unitless,726,606,0.10157559503855179,0.8347107438016529
experiment,density,density_g/cm^3,5966,self_diffusion_coefficient,self_diffusion_coefficient_10^-9*m^2/s_log10,36,36,0.006034193764666443,1.0
experiment,density,density_g/cm^3,5966,solvation,solvation_kcal/mol,74,70,0.011733154542406973,0.9459459459459459
experiment,density,density_g/cm^3,5966,speed_of_sound,speed_of_sound_m/s,216,215,0.0360375460945357,0.9953703703703703
experiment,density,density_g/cm^3,5966,static_relative_permittivity,static_relative_permittivity_unitless,44,42,0.007039892725444184,0.9545454545454546
experiment,density,density_g/cm^3,5966,surface_tension,surface_tension_mN/m,1141,1085,0.18186389540730807,0.950920245398773
experiment,density,density_g/cm^3,5966,thermal_conductivity,thermal_conductivity_W/m/K,93,86,0.014415018437814281,0.9247311827956989
experiment,density,density_g/cm^3,5966,thermal_decomposition_temperature,thermal_decomposition_temperature_K,2756,594,0.09956419711699631,0.2155297532656023
experiment,density,density_g/cm^3,5966,transfer,transfer_kcal/mol,64,61,0.010224606101240362,0.953125
experiment,density,density_g/cm^3,5966,viscosity,viscosity_mPa*s_log10,2586,2269,0.3803218236674489,0.8774168600154679
experiment,density,density_g/cm^3,5966,x_co2,x_CO2_unitless,122,111,0.0186054307743882,0.9098360655737705
