source_task,experiment/density,experiment/dynamic_relative_permittivity,experiment/electrical_conductivity,experiment/equilibrium_pressure,experiment/glass_transition_temperature,experiment/heat_capacity,experiment/isobaric_coefficient_of_volume_expansion,experiment/melting_point,experiment/pec50,experiment/refractive_index,experiment/self_diffusion_coefficient,experiment/solvation,experiment/speed_of_sound,experiment/static_relative_permittivity,experiment/surface_tension,experiment/thermal_conductivity,experiment/thermal_decomposition_temperature,experiment/transfer,experiment/transfer_organic,experiment/viscosity,experiment/x_co2
experiment/density,,-0.04690143722759546,0.20743823145152493,-0.11327577791860644,-0.21646388764389032,0.056509255586203684,-0.13530519813773922,-0.050968290347698106,0.18862141913046584,-0.5423711838896363,0.1183526486216662,,-0.480775629994516,-0.32426689970423384,0.060912673919218445,-0.5304261350758878,0.48194461757173335,,,-0.15810010892582024,-0.021480174920339178
experiment/dynamic_relative_permittivity,0.0801875603693658,,0.576256988380888,0.24762504332459573,-0.20713478774476393,-0.5280793610882254,-0.25142066685755693,-0.210000556579753,-0.39114438824780556,0.0807960238149438,0.13864172357340548,,0.4024798466604611,0.13737296025405932,0.5201741724491521,0.4422451611903411,-0.12637216680439697,,,-0.5100529088956159,-0.22702986890802632
experiment/electrical_conductivity,0.20940161150340802,0.20128847576903564,,0.042689701770427115,-0.30215699413021113,-0.23186276119848204,-0.194380272194525,-0.13566373008157648,-0.17714828057167736,-0.2242052668640077,0.5207668869630513,,-0.18299751493551145,-0.07159214017823806,0.08463086630822564,-0.11864146393002441,0.0802918704047099,,,-0.7844811194296989,-0.27201020658729175
experiment/equilibrium_pressure,0.12551900093966278,0.14242744393545534,0.20708970534990284,,-0.36932047126913126,0.045844630506737837,0.16878542250010894,-0.12096854372119895,0.19505322414812895,-0.2032489256977346,0.31284949696411857,,-0.332982525122262,0.1021787306713173,-0.3945951468896366,-0.12193902929135793,0.36182915766513885,,,-0.39161478904723684,-0.037553238266552075
experiment/glass_transition_temperature,-0.01109556495025038,0.1129631262415166,-0.08109273523137782,-0.017534224414413466,,0.03170491662042921,0.2147381663920794,0.35470098954088636,-0.1736986609350948,0.3405621720446457,-0.06953990005841694,,0.19530076719567263,0.1437198142705686,0.07084219723206467,0.133058621797685,-0.3096542121775745,,,0.31415643009490335,-0.0006581946062478141
experiment/heat_capacity,0.058400198974079935,-0.4207870457863676,-0.0466455617077385,0.1052753057380457,-0.07879978609166191,,0.335911920097407,0.2524443217291433,0.6041514902794412,-0.17077002753083392,0.39053533780497346,,-0.7330732328094484,-0.07768362234567829,-0.7527517322240524,-0.6691598615663481,-0.06682942399196977,,,-0.10524139423355351,0.02721528200329389
experiment/isobaric_coefficient_of_volume_expansion,0.37059399148916716,0.029681995746869767,-0.08028152773898169,0.17035940168324457,-0.2524750360255326,0.4231539017664628,,0.08938966094352838,0.25647175941721273,-0.11648627286425367,-0.04636449077733037,,-0.6403858211519332,0.15887738573043375,-0.36752637533979693,-0.6352570372389882,0.12946615586158366,,,0.05492999081831844,0.38906260579802915
experiment/melting_point,0.04674526063968059,0.30261558471708905,-0.001624837703408173,-0.17943667376848987,0.46711490997212973,-0.2829096118981029,-0.17809821075489987,,-0.05271143971785085,0.4604841488829547,-0.39387798253957607,,0.3335001984519881,-0.04115037509540259,0.29309266048003846,0.10943213319775334,-0.2942038620283037,,,0.11637273791183383,0.2526541912734146
experiment/pec50,-0.1755454290465673,-0.015421121817400053,-0.17358199269380925,0.0167899017024035,-0.17236803705174683,0.49810286806460774,-0.11137829270203362,-0.007824107859343746,,-0.21588397592486072,-0.10891522677597137,,-0.15627180534902826,-0.03967356866551963,-0.4527429596932119,-0.1650586050729136,0.15644676033207525,,,-0.1282041613123752,-0.13919941226987342
experiment/refractive_index,-0.4225836986311601,0.1146878478180794,-0.15538270470429083,0.16302369735719865,0.352707349790798,-0.239814842220143,0.15755149849960767,0.07229912738497864,-0.3248078799295827,,-0.18440345817171824,,0.6151120397010243,0.3175385790632377,0.23714336402458525,0.5050427281262128,-0.5404305509071627,,,0.3169652893085972,0.1706541371054515
experiment/self_diffusion_coefficient,0.2130229507786021,-0.17420718232068091,0.3635386656326122,0.32852332836654397,-0.3656494531228226,0.20542427192051363,-0.09360780132566787,-0.30072068210906266,0.05312494650644797,-0.5435951695050075,,,-0.531937100437761,0.10912288996533824,-0.11563315266981276,-0.20420811619788204,0.4426666648800003,,,-0.9539690768920268,-0.5686713010889438
experiment/solvation,,,,,,,,,,,,,,,,,,0.19612464024962795,,,
experiment/speed_of_sound,-0.4252211309609323,0.3575220183554732,-0.21062662768217202,-0.05700293822802959,0.08932755718956342,-0.7486733923721054,0.01730541481278361,-0.1078407501988885,-0.6687103931856154,0.5953581323395198,-0.3947376754934625,,,0.4208216748664518,0.6771498163775665,0.8013363821095084,-0.4249321789072004,,,0.2051594261901174,0.17358671248567142
