source_task,target_task,source_topology,target_topology,source_rows,target_rows,excluded_query_count,compatible,computed,matched_pairs,spearman_rho,undefined_reason,chemistry_min,chemistry_q05,chemistry_q25,chemistry_median,chemistry_q75,chemistry_q95,chemistry_max,condition_min,condition_q05,condition_q25,condition_median,condition_q75,condition_q95,condition_max,combined_min,combined_q05,combined_q25,combined_median,combined_q75,combined_q95,combined_max
experiment/density,experiment/density,il,il,100579,100579,0,True,False,0,,same_task_skipped,,,,,,,,,,,,,,,,,,,,,
experiment/density,experiment/dynamic_relative_permittivity,il,il,100579,882,0,True,True,100579,-0.04690143722759546,,0.0,0.16480441082434805,0.4113063728303113,0.6324555320336759,1.0,1.0,1.0,0.30167090391947843,0.4570926243275108,0.6675554429417886,0.7674954910825819,0.8025769509048292,0.8322930033587973,0.8333333333333334,0.10701467366609099,0.3449593560628123,0.5031082470200632,0.6617894449862106,0.8581388097773237,0.9422013258631274,0.95
experiment/density,experiment/electrical_conductivity,il,il,100579,9464,0,True,True,100579,0.20743823145152493,,0.0,0.30618621784789724,0.6255432421712243,1.0,1.0,1.0,1.0,0.2797523676579432,0.6030407461288141,0.9231487440120292,0.9938269539198682,0.9996186653418979,1.0,1.0,0.2802403857672126,0.5079309840251016,0.7186667630543582,0.8969021273084476,0.9993492724494766,1.0,1.0
experiment/density,experiment/equilibrium_pressure,il,il,100579,2029,0,True,True,100579,-0.11327577791860644,,0.0,0.1556997888323046,0.3627381250550058,0.6123724356957945,1.0,1.0,1.0,0.3036748722982682,0.39478317980541355,0.47427702380152925,0.5396192653995777,0.6128416005537455,0.7316694487504449,0.75,0.17904763021792242,0.28156528942572145,0.421423552834495,0.6002048594599997,0.8316387380901727,0.8838524801661236,0.9249878211431567
experiment/density,experiment/glass_transition_temperature,il,il,100579,793,0,True,True,100579,-0.21646388764389032,,0.0,0.3086066999241838,0.512989176042577,0.7416198487095663,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.15,0.36602468994692866,0.5090924232298039,0.6691338940966964,0.85,0.85,0.85
experiment/density,experiment/heat_capacity,il,il,100579,15215,0,True,True,100579,0.056509255586203684,,0.0,0.2760888360148791,0.5883484054145521,1.0,1.0,1.0,1.0,0.2560009370936372,0.5975528160271617,0.8914286055856973,0.9954846287391255,0.9996186653418979,1.0,1.0,0.2903039658136839,0.4875649223115099,0.6925389717945463,0.8854380422811046,0.9984021739824068,1.0,1.0
experiment/density,experiment/isobaric_coefficient_of_volume_expansion,il,il,100579,894,0,True,True,100579,-0.13530519813773922,,0.0,0.09682458365518543,0.2679456508228335,0.45773770821706344,0.7071067811865476,1.0,1.0,0.2245882767283422,0.6280159246655805,0.6961172418922882,0.8767723542664058,0.9588849999675138,0.9989469720699053,1.0,0.16610246168948045,0.338450661342057,0.4504395557972056,0.5689509070376525,0.7357151450673275,0.9773866457448646,1.0
experiment/density,experiment/melting_point,il,il,100579,4688,0,True,True,100579,-0.050968290347698106,,0.125,0.4264014327112209,0.6882472016116853,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2375,0.44848100289785464,0.6317730411281797,0.85,0.85,0.85,0.85
experiment/density,experiment/pec50,il,il,100579,330,0,True,True,100579,0.18862141913046584,,0.0,0.22454435656953592,0.4822428221704121,0.7559289460184544,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.15,0.3071810495986751,0.4875699755192885,0.6791502622129181,0.85,0.85,0.85
experiment/density,experiment/refractive_index,il,il,100579,10764,0,True,True,100579,-0.5423711838896363,,0.0,0.3692744729379982,0.6708203932499369,1.0,1.0,1.0,1.0,0.3373339580624248,0.5421677980813622,0.7034939094796883,0.8283103660843416,0.8331980346739654,0.8333333333333334,0.8333333333333334,0.22351125890353007,0.497402641313929,0.7103096380302221,0.876678706817276,0.9496879010076391,0.95,0.95
