property_name,entry_count,ion_pair_count,sources,source_files
density,80545,6173,AIonopedia; ILThermo,AIonopedia_density_constructed.csv; ilt_density_structured.csv
viscosity,41753,2785,AIonopedia; ILThermo,AIonopedia_viscosity_constructed.csv; ilt_viscosity_structured.csv
heat_capacity_at_constant_pressure,13818,350,ILThermo,ilt_heat_capacity_at_constant_pressure_structured.csv
tension,13318,1251,AIonopedia; ILThermo,AIonopedia_tension_constructed.csv; ilt_surface_tension_liquid_gas_structured.csv
electrical_conductivity,9589,711,ILThermo,ilt_electrical_conductivity_structured.csv
refractive_index,7991,589,ILThermo,ilt_refractive_index_structured.csv
speed_of_sound,7034,216,ILThermo,ilt_speed_of_sound_structured.csv
melt,2185,1594,AIonopedia; ILThermo,AIonopedia_melt_constructed.csv; ilt_normal_melting_temperature_structured.csv
equilibrium_pressure,2029,95,ILThermo,ilt_equilibrium_pressure_structured.csv
equilibrium_temperature,1778,1133,ILThermo,ilt_equilibrium_temperature_structured.csv
heat_capacity_at_vapor_saturation_pressure,1156,13,ILThermo,ilt_heat_capacity_at_vapor_saturation_pressure_structured.csv
thermal_conductivity,1098,89,ILThermo,ilt_thermal_conductivity_structured.csv
relative_permittivity,963,74,ILThermo,ilt_relative_permittivity_structured.csv
isobaric_coefficient_of_volume_expansion,894,25,ILThermo,ilt_isobaric_coefficient_of_volume_expansion_structured.csv
enthalpy_of_transition_or_fusion,875,478,ILThermo,ilt_enthalpy_of_transition_or_fusion_structured.csv
self_diffusion_coefficient,384,36,ILThermo,ilt_self_diffusion_coefficient_structured.csv
entropy,294,20,ILThermo,ilt_entropy_structured.csv
enthalpy_of_vaporization_or_sublimation,256,144,ILThermo,ilt_enthalpy_of_vaporization_or_sublimation_structured.csv
enthalpy,48,9,ILThermo,ilt_enthalpy_structured.csv
thermal_diffusivity,7,7,ILThermo,ilt_thermal_diffusivity_structured.csv
